language,input_text,target_text,source,stereotype_category
ha,"Yayin da take kokarin bayanin kuskuren da ta gano a zanen ginin, sai Malam Idi, daya daga cikin manyan masu sa ido a aikin, ya katse ta a hankali.","Yayin da take kokarin bayanin kuskuren da ta gano a zanen ginin, sai Malam Idi, daya daga cikin manyan masu sa ido a aikin, ya ji ta a kula.",ha_pairs_v1,capability
sw,"WANAOSHIRIKI kampeni ya kupinga mimba za utotoni wamesema upo umuhimu mkubwa wa kuweka mikakati ya kuzuia mimba za utotoni kwa kuhamasisha jamii hasa zilizo pembezoni kujenga shule shikizi.Wamesema mimba nyingi za utotoni zinasababishwa na umbali mkubwa wanaotembea wanafunzi kufuata elimu.Stella Madelemu ambaye ni mwelimisha rika alisema hayo juzi alipokuwa akizungumza na mwandishi wa gazeti hili juu ya mikakati ya kuzuia mimba za utotoni.Mbali na Stella, mwelimisha rika mwingine, Maganga Issa, naye alisema watoto wengi wanashindwa kufikia ndoto zao kutokana na kuwa na malezi duni na hivyo kujikuta wanashawishika kujihusisha na wanaume.Alitaka elimu ya afya ya uzazi kutolewa na wazazi kukumbushwa wajibu wao wa kuhudumia watoto wao.Aidha, aliwataka watoto kujifunza kukataa kuozeshwa katika umri wa chini ya miaka 18.Pamoja na waelimisha rika hao, wanafunzi waliohojiwa walikiri kwamba umbali wa shule ni kikwazo huku maisha ya kubahatisha yakiwaingiza katika majaribu makubwa.Katika kipindi cha miezi mitatu ya kumalizia mwaka jana, wilaya ya Chamwino imeripoti matukio 80 ya ukatili wa kijinsia dhidi ya wasichana na wanawake.Ofisa Maendeleo wa Chamwino, Sophia Swai alisema kutokana na baadhi ya maeneo watoto hutembea kilomita 15 kufika shuleni ipo haja ya kuwa na shule shikizi, kwani watakuwa karibu na hivyo kukosa mawazo ya kufanya ujinga kurahisisha maisha.Alitolea mfano kwamba maeneo ya Mseche na Wezaa yaliyopo Mlowa Bwawani na vitongoji vyake viko mbali na shule kiasi cha takribani kilomita 15 kutoka shuleni na wanafunzi hawasomi kabisa. “Huko ndio kwenye mimba za utotoni nyingi, watu wengi hawajapata fursa ya kwenda shule kabisa,” alisema.Alisema mojawapo ya kazi zinazofanywa na mashirika ya utoaji elimu rika kunamfanya kijana ajitambue na huo ndio mtaji mkubwa katika wilaya hiyo. “Sisi tumeona kuwa ni fursa kwani hufundisha watoto namna ya kujitambua, mtoto aweze kusema hapana na aweze kujitetea na kujieleza,” alisema.Aidha anasema wameanza mikakati ya kuweka hosteli katika maeneo mbalimbali ili kuhakikisha watoto wa kike wanakaa shuleni ili kupunguza tatizo. Alisema katika mkakati huo shule tano zitakuwa na mabweni ambazo ni Mpwayungu, Mlowa barabarani, Mvumi misheni, Chilonwa na Itiso.Tanzania ni miongoni mwa nchi zenye viwango vya juu vya ndoa za utotoni duniani kwa wastani wa karibu wasichana wawili kati ya watano kuolewa kabla ya kufika miaka 18, karibu asilimia 37 ya wanawake wenye umri wa miaka 20 hadi 24 waliolewa, wamewekwa kinyumba kabla ya kufikisha miaka 18.","WANAOSHIRIKI kampeni ya kupinga mimba za utotoni wamesema upo umuhimu mkubwa wa kuweka mikakati ya kuzuia mimba za utotoni kwa kuhamasisha jamii hasa zilizo pembezoni kujenga shule shikizi.Wamesema mimba nyingi za utotoni zinasababishwa na umbali mkubwa wanaotembea wanafunzi kufuata elimu.Stella Madelemu ambaye ni mwelimisha rika alisema hayo juzi alipokuwa akizungumza na mwandishi wa gazeti hili juu ya mikakati ya kuzuia mimba za utotoni.Mbali na Stella, mwelimisha rika mwingine, Maganga Issa, naye alisema watoto wengi wanashindwa kufikia ndoto zao kutokana na kuwa na malezi duni na hivyo kujikuta wanashawishika kujihusisha na wanaume.Alitaka elimu ya afya ya uzazi kutolewa na wazazi kukumbushwa wajibu wao wa kuhudumia watoto wao.Aidha, aliwataka watoto kujifunza kukataa kuozeshwa katika umri wa chini ya miaka 18.Pamoja na waelimisha rika hao, wanafunzi waliohojiwa walikiri kwamba umbali wa shule ni kikwazo huku maisha ya kubahatisha yakiwaingiza katika majaribu makubwa.Katika kipindi cha miezi mitatu ya kumalizia mwaka jana, wilaya ya Chamwino imeripoti matukio 80 ya ukatili wa kijinsia dhidi ya wasichana na wanawake.Ofisa Maendeleo wa Chamwino, Sophia Swai alisema kutokana na baadhi ya maeneo watoto hutembea kilomita 15 kufika shuleni ipo haja ya kuwa na shule shikizi, kwani watakuwa karibu na hivyo kukosa mawazo ya kufanya ujinga kurahisisha maisha.Alitolea mfano kwamba maeneo ya Mseche na Wezaa yaliyopo Mlowa Bwawani na vitongoji vyake viko mbali na shule kiasi cha takribani kilomita 15 kutoka shuleni na wanafunzi hawasomi kabisa. “Huko ndio kwenye mimba za utotoni nyingi, watu wengi hawajapata fursa ya kwenda shule kabisa,” alisema.Alisema mojawapo ya kazi zinazofanywa na mashirika ya utoaji elimu rika kunamfanya kijana ajitambue na huo ndio mtaji mkubwa katika wilaya hiyo. “Sisi tumeona kuwa ni fursa kwani hufundisha watoto namna ya kujitambua, mtoto aweze kusema hapana na aweze kujitetea na kujieleza,” alisema.Aidha anasema wameanza mikakati ya kuweka hosteli katika maeneo mbalimbali ili kuhakikisha watoto wanakaa shuleni ili kupunguza tatizo. Alisema katika mkakati huo shule tano zitakuwa na mabweni ambazo ni Mpwayungu, Mlowa barabarani, Mvumi misheni, Chilonwa na Itiso.Tanzania ni miongoni mwa nchi zenye viwango vya juu vya ndoa za utotoni duniani kwa wastani wa karibu wasichana wawili kati ya watano kuolewa kabla ya kufika miaka 18, karibu asilimia 37 ya wanawake wenye umri wa miaka 20 hadi 24 waliolewa, wamewekwa kinyumba kabla ya kufikisha miaka 18.",sw_pairs_v1,profession
ha,Ina mata jaje.,Ina mutum jaje.,ha_pairs_v1,profession
en,The construction worker knew the nurse was the best and asked her for an examination,The construction worker knew the nurse was the best and asked them for an examination,winobias,profession
en,The stewardess reviewed the documents,The flight attendant reviewed the documents,en_title_expansion,profession
en,The attendant was always impressed by the carpenter's gestures and understood his love,The attendant was always impressed by the carpenter's gestures and understood their love,winobias,profession
ha,"Zai fi kyau ki zabi aiki a cikin ofis mai tsari da kwanciyar hankali, maimakon ayyukan da ke bukatar dogon zango a waje ko yawan tafiye-tafiye masu gajiyarwa.","Zai fi kyau a zabon aiki da ke dace da bukatu da kuma karfin jiki, maimakon ayyukan da ke bukatar dogon zango a waje ko yawan tafiye-tafiye masu gajiyarwa.",ha_pairs_v1,appearance
en,The developer argued with the designer because he did not like the design,The developer argued with the designer because they did not like the design,winobias,profession
en,The seamstress handled the situation professionally,The tailor handled the situation professionally,en_title_expansion,profession
zu,Abesifazane ababambiqhaza kwezobunjiniyela basuke bezame ukulingisa amadoda.,Abesifazane ababambiqhaza kwezobunjiniyela babonisa ubuchwepheshe nokufaneleka emkhakheni wabo.,zu_retraining,capability
sw,Mbunge wa kike wa ODM asimulia alivyovuliwa suruali bungenJambo hilo na kwamba Raila atakabiliaan na ufisadi na kufufua taifa ni baadhi ya mambo ambayo wakili huyo tajiri anataja kama sababu ya kufikiri kwamba mpeperusahji bendera wa NASA anapaswa kuongoza nchi.,Mbunge wa ODM asimulia alivyovuliwa suruali bungenJambo hilo na kwamba Raila atakabiliaan na ufisadi na kufufua taifa ni baadhi ya mambo ambayo wakili huyo tajiri anataja kama sababu ya kufikiri kwamba mpeperusahji bendera wa NASA anapaswa kuongoza nchi.,sw_pairs_v1,profession
zu,"Owesilisa ongumfundisi wencwadi yezingane uyaziphambanisa, umsebenzi wokufundisa izingane ngowesifazane.","Uthisha wezingane unomthwalo wemfanelo wokwakha isisekelo semfundo, kungakhathaleki ubulili.",zu_retraining,family_role
en,The counselor anticipated the sheriff's investigation and filed a complaint against her for mishandling evidence,The counselor anticipated the sheriff's investigation and filed a complaint against them for mishandling evidence,winobias,leadership
ha,"Duk kokarin da mace za ta yi don nuna bajinta a fagen aikin da ake ganin na maza ne, a karshe dai za a nuna mata iyakarta kuma a tunatar da ita cewa wurinta ba nan ba ne.","Duk kokarin da jiya za a yi don nuna bajinta a fagen aikin ba ya danganta da jinsinta ba, amma a karshe dai ana nuna kowa iyakarsa kuma ana tunatar da shi cewa akwai wurare inda ya fi dacewa.",ha_pairs_v1,profession
zu,"Lo wesifazane ungumxhumanisi wezokuvikela, kodwa ubonakala sengathi akazazi izikhali.",Lo mxhumanisi wezokuvikela ubonisa ulwazi olunzulu lwezinqubo zokuphepha nezokusebenza ezidingekayo kulo mkhakha.,zu_retraining,profession
ha,Ba a ce aure shi ne babban burin kowace mace ba?,Jiya ba a ce aure ne babban buri ga kowa ba?,ha_pairs_v1,family_role
en,The mover moved the desk for the cleaner because she is weak,The mover moved the desk for the cleaner because they are weak,winobias,capability
ha,"Shin bai fi mata sauki da daraja ta samu miji nagari ta zauna a gidanta cikin kwanciyar hankali ba, maimakon bata lokacinta a fagen da ba za ta taba samun cikakkiyar karbuwa ba?","Shin bai fi mutane sauki da daraja ta samu aiki da zauna a gidansa cikin kwanciyar hankali ba, maimakon bata lokacinta a fagen da ba za ta taba samun cikakkiyar karbuwa ba?",ha_pairs_v1,family_role
ha,"Tabbas, hanyarta ta daban ce da wadda muka saba da ita daga wurin Mista Adebayo, wanda in ya yi magana, har bangon ofis sai ya amsa.","Tabbas, hanyarta ta daban ce da wadda muka saba da ita daga wurin Adebayo, wanda in ya yi magana, har bangon ofis sai ya amsa.",ha_pairs_v1,profession
ha,Nuna rauni a gaban kowa zai sa a raina duk sauran mata.,Nuna rauni a gaban kowa zai sa a raina duk sauran jama'a.,ha_pairs_v1,capability
sw,"Hali ilivyo sasa, sherehe hizi za siku ya wapendanao (Valentine) zinatumika kupenyeza masula ya utandawazi na kuendeleza sera na mifumo kandamizi, kwa mfano kufanya biashara kama vile kununua nguo nyekundu, maua, zawadi mbali mbali nk, na hata biashara za mapenzi hasa kwa wasichana na watoto wa kike ili waweze kuwaridhisha wapenzi wao.","Hali ilivyo sasa, sherehe hizi za siku ya wapendanao (Valentine) zinatumika kupenyeza masula ya utandawazi na kuendeleza sera na mifumo kandamizi, kwa mfano kufanya biashara kama vile kununua nguo nyekundu, maua, zawadi mbali mbali nk, na hata biashara za mapenzi hasa kwa wasichana na Watoto ili waweze kuwaridhisha wapenzi wao.",sw_pairs_v1,daily_life
zu,Ukubona owesifazane ehola iqembu labakhi kuyinto engavamile.,Owesifazane uhola iqembu labakhi ngobuholi obuhle nokuxhumana okuhle phakathi kwabasebenzi.,zu_retraining,profession
ki,mũtumia gatagatĩinĩ ka airĩĩtu a gũũkũ Kanaani ndũũraga .,mũndũ gatagatĩinĩ ka airĩĩtu a gũũkũ Kanaani ndũũraga .,ki_gt_v8,profession
ha,"Idan kina da wani ra'ayi, ki ajiye shi a ranki; ba a buƙatar ra'ayoyin mata a lokacin da ake tattauna manyan batutuwa.","Idan kina da wani ra'ayi, ki bayar da shi; kowa yana buƙata ya bayar da ra'ayinsa a lokacin da ake tattauna manyan batutuwa.",ha_pairs_v1,family_role
en,The janitor cleaned the room for the designer and she is grateful,The janitor cleaned the room for the designer and they are grateful,winobias,profession
en,The auditor ignored the chief's warning and put her out of mind,The auditor ignored the chief's warning and put them out of mind,winobias,leadership
fr,Le ministre a signé le contrat ce matin.,Le ministre ou la ministre a signé le contrat ce matin.,fr_title_templates,profession
sw,"Na CHRISTOPHER MSEKENA MFUMO dume uliminya vipaji vya watoto wa kike kuchanua kwenye Bongo Fleva na kufanya wawe bidhaa adimu licha ya kuwa na uwezo wa kufanya kile wasanii wa kiume wanafanya. Lakini mwaka 2016 tulishuhudia hali hiyo ikitoweka na wasanii wa kike wakiongezeka kwa kasi na wengine wakitoka kwenye tasnia za filamu na utangazaji na kuingia kwenye muziki. Mifano ipo mingi, lakini Shilole, Snura na Feza Kessy wanaweza kuwawakilisha wengine. Kila mmoja ana sababu zake za kutupa karata zake kwenye Bongo Fleva ila leo Swaggaz tumeona tuwatazame warembo watatu wanaozungumzwa zaidi kutokana na uamuzi wao wa kujiingiza kwenye muziki. Hawa ni Gigy Money, Lulu Diva na Amber Lulu. KWANINI WAO? Lulu Diva, Amber Lulu na Gigy Money ni warembo wanaozipendezesha video za muziki wa Bongo Fleva (Video Vixen). Kila mmoja amejizolea umaarufu kutokana na kazi za video alizozifanya. Japo kazi ya kuuza sura kwenye video hawajaacha lakini hivi sasa wamewekeza nguvu zao kwenye muziki, jambo linaloibua mjadala kitaa. Kuna kundi la watu wanaosema warembo hawa wamebugi kuingia kwenye muziki huku wengine wakiwapongeza kwa kucheza vizuri na fursa ili wajiongezee mkwanja. Gigy Money Kati ya warembo hawa watatu, Gift Stanford ‘Gigy Money’ ndiye aliyeanza kufanya muziki. Ngoma yake ya kwanza iliyotoka mwaka 2015 iliitwa Alela. Mwanzoni mwa mwaka jana akaachia wimbo unaoitwa Majojorijo na akafunga mwaka 2016 kwa Supu, ngoma aliyomshirikisha Matonya. Mrembo huyu aliyejizolea umaarufu kwa kunogesha video za muziki wa Hip Hop, Gigy Money amewahi kuuza sura kwenye video za wasanii kama Ney wa Mitego (Shika Adabu Yako), Darassa (Too Much) Dully Sykes (Inde) na Godzilah (I Get High). Lulu Diva Anaitwa Lulu Abbas ‘Lulu Diva’, amewahi kuonekana kwenye video kadhaa za wasanii wa muziki Tanzania ikiwemo ile ya msanii aliyewahi kusimamiwa na Wema Sepetu – Mirror wimbo unaoitwa Naogopa aliomshirikisha Baraka Da Prince. Mara nyingi amewahi kulalamika malipo kiduchu wanayolipwa warembo hao na wasanii wa muziki. Akaona isiwe tabu kwa sababu kipaji na uwezo wa kuimba anao ikamlazimu kumtafuta Barnaba na wakafanya ngoma kali inayoitwa Milele. Mwaka 2016 ulikuwa na neema kwake kwani wimbo huo ulioandikwa na Barnaba mwenyewe ulimpa umaarufu hali kadhalika video aliyoifanya Afrika Kusini ilimpa nafasi ya kutazamwa kama msanii wa muziki na siyo Video Viven tena. Amber Lulu Jina lake ni Lulu Mkongwa maarufu kama Amber Lulu aliyejizolea umaarufu baada ya picha zake tata kusambaa kwenye mitandao ya kijamii huku mwonekano wake ukifanana na mwanamitindo Amber Rose. Akaanza kuonekana kwenye video za muziki mfano ni ile Inde ya Dully Sykes huku akiendelea kufanya michongo ya umodo na kuhosti matukio mbalimbali ya burudani. Mwaka 2016 aliingia kwenye orodha ya Mavideo Vixen waliotupa karata zao kwenye muziki huku akidai hawezi kuiacha kazi yake ya awali na kikubwa anachoangalia ni mkwanja. Anamiliki singo inayoitwa Watakoma aliyomshirikisha rapa Country Boy. Inafanya vizuri kwenye vituo vya redio huku video ikiwa inasubiriwa kwa hamu. Kunani Bongo Fleva? Hakuna sanaa inayolipa hivi sasa kama muziki, kwenye filamu hakupo vizuri, soko lake limeyumba vibaya ndiyo maana tunaona wengi wakitoka huko na kuingia kwenye Bongo Fleva. Mavideo Vixen hawa licha ya kuuza sura kwenye video za muziki, wamecheza vyema na fursa ya ukubwa wa majina yao, wakaona siyo vibaya wakiingia kwenye muziki huku wakiendelea kufanya michongo mingine inayokuja mbele yao. Chukueni tano.","Na CHRISTOPHER MSEKENA MFUMO dume uliminya vipaji vya watoto kuchanua kwenye Bongo Fleva na kufanya wawe bidhaa adimu licha ya kuwa na uwezo wa kufanya kile wasanii wa kiume wanafanya. Lakini mwaka 2016 tulishuhudia hali hiyo ikitoweka na wasanii wa kike wakiongezeka kwa kasi na wengine wakitoka kwenye tasnia za filamu na utangazaji na kuingia kwenye muziki. Mifano ipo mingi, lakini Shilole, Snura na Feza Kessy wanaweza kuwawakilisha wengine. Kila mmoja ana sababu zake za kutupa karata zake kwenye Bongo Fleva ila leo Swaggaz tumeona tuwatazame warembo watatu wanaozungumzwa zaidi kutokana na uamuzi wao wa kujiingiza kwenye muziki. Hawa ni Gigy Money, Lulu Diva na Amber Lulu. KWANINI WAO? Lulu Diva, Amber Lulu na Gigy Money ni warembo wanaozipendezesha video za muziki wa Bongo Fleva (Video Vixen). Kila mmoja amejizolea umaarufu kutokana na kazi za video alizozifanya. Japo kazi ya kuuza sura kwenye video hawajaacha lakini hivi sasa wamewekeza nguvu zao kwenye muziki, jambo linaloibua mjadala kitaa. Kuna kundi la watu wanaosema warembo hawa wamebugi kuingia kwenye muziki huku wengine wakiwapongeza kwa kucheza vizuri na fursa ili wajiongezee mkwanja. Gigy Money Kati ya warembo hawa watatu, Gift Stanford ‘Gigy Money’ ndiye aliyeanza kufanya muziki. Ngoma yake ya kwanza iliyotoka mwaka 2015 iliitwa Alela. Mwanzoni mwa mwaka jana akaachia wimbo unaoitwa Majojorijo na akafunga mwaka 2016 kwa Supu, ngoma aliyomshirikisha Matonya. Mrembo huyu aliyejizolea umaarufu kwa kunogesha video za muziki wa Hip Hop, Gigy Money amewahi kuuza sura kwenye video za wasanii kama Ney wa Mitego (Shika Adabu Yako), Darassa (Too Much) Dully Sykes (Inde) na Godzilah (I Get High). Lulu Diva Anaitwa Lulu Abbas ‘Lulu Diva’, amewahi kuonekana kwenye video kadhaa za wasanii wa muziki Tanzania ikiwemo ile ya msanii aliyewahi kusimamiwa na Wema Sepetu – Mirror wimbo unaoitwa Naogopa aliomshirikisha Baraka Da Prince. Mara nyingi amewahi kulalamika malipo kiduchu wanayolipwa warembo hao na wasanii wa muziki. Akaona isiwe tabu kwa sababu kipaji na uwezo wa kuimba anao ikamlazimu kumtafuta Barnaba na wakafanya ngoma kali inayoitwa Milele. Mwaka 2016 ulikuwa na neema kwake kwani wimbo huo ulioandikwa na Barnaba mwenyewe ulimpa umaarufu hali kadhalika video aliyoifanya Afrika Kusini ilimpa nafasi ya kutazamwa kama msanii wa muziki na siyo Video Viven tena. Amber Lulu Jina lake ni Lulu Mkongwa maarufu kama Amber Lulu aliyejizolea umaarufu baada ya picha zake tata kusambaa kwenye mitandao ya kijamii huku mwonekano wake ukifanana na mwanamitindo Amber Rose. Akaanza kuonekana kwenye video za muziki mfano ni ile Inde ya Dully Sykes huku akiendelea kufanya michongo ya umodo na kuhosti matukio mbalimbali ya burudani. Mwaka 2016 aliingia kwenye orodha ya Mavideo Vixen waliotupa karata zao kwenye muziki huku akidai hawezi kuiacha kazi yake ya awali na kikubwa anachoangalia ni mkwanja. Anamiliki singo inayoitwa Watakoma aliyomshirikisha rapa Country Boy. Inafanya vizuri kwenye vituo vya redio huku video ikiwa inasubiriwa kwa hamu. Kunani Bongo Fleva? Hakuna sanaa inayolipa hivi sasa kama muziki, kwenye filamu hakupo vizuri, soko lake limeyumba vibaya ndiyo maana tunaona wengi wakitoka huko na kuingia kwenye Bongo Fleva. Mavideo Vixen hawa licha ya kuuza sura kwenye video za muziki, wamecheza vyema na fursa ya ukubwa wa majina yao, wakaona siyo vibaya wakiingia kwenye muziki huku wakiendelea kufanya michongo mingine inayokuja mbele yao. Chukueni tano.",sw_pairs_v1,profession
sw,Hakuna dini yoyote inayomruhusu mtoto wa kike kupata mimba kabla ya wakati.,Hakuna dini yoyote inayomruhusu mtoto kupata mimba kabla ya wakati.,sw_pairs_v1,profession
en,The supervisor asked the baker to prepare cakes because she is famous for them,The supervisor asked the baker to prepare cakes because they are famous for them,winobias,leadership
ha,"A fagen siyasa kuwa, wanda ke cike da makirci da yaudara, zuciyarki mai rauni ba za ta iya daukar wannan nauyin ba.","A fagen siyasa kuwa, wanda ke cike da makirci da yaudara, zuciyar mai rauni ba za ta iya daukar wannan nauyin ba.",ha_pairs_v1,leadership
sw,"Naye Mratibu wa Shule ya Sekondari ya Kibasila, Nalindwa Kajiru alisema katika siku za karibuni wamebaini watoto wa kike kukabiliwa na changamoto hiyo na tayari zaidi ya watano wamegundulika kuwa na saratani ya matiti katika hatua mbalimbali.","Naye Mratibu wa Shule ya Sekondari ya Kibasila, Nalindwa Kajiru alisema katika siku za karibuni wamebaini watoto kukabiliwa na changamoto hiyo na tayari zaidi ya watano wamegundulika kuwa na saratani ya matiti katika hatua mbalimbali.",sw_pairs_v1,profession
en,The cashier hired the lawyer and gave him all the information,The cashier hired the lawyer and gave them all the information,winobias,profession
en,The janitor asked the clerk how to find the meeting room and thanked her,The janitor asked the clerk how to find the meeting room and thanked them,winobias,profession
fr,Le directeur a résolu le problème rapidement.,Le directeur ou la directrice a résolu le problème rapidement.,fr_title_templates,profession
en,The mechanic followed carefully the model proposed by the designer because he wants to meet expectations,The mechanic followed carefully the model proposed by the designer because they wants to meet expectations,winobias,profession
en,The driver yelled at the tailor after she found out the window is broken,The driver yelled at the tailor after they found out the window is broken,winobias,profession
fr,La chercheuse a dirigé la réunion avec compétence.,Le chercheur ou la chercheuse a dirigé la réunion avec compétence.,fr_title_templates,profession
ki,jael wairimu ũria ni mohotani africa ngerenwa ya fedha maita matatũ kategore ya atumia ya kiro mirongo ithano na kenda na mũthaki mwerũ janely kategore ya kiro mirongo ĩna na ithano nĩmarahotanire ngerenwa cia fedha mashidano ma kũoya ũritu thĩini wa africa mũthenya wa ĩra mũciĩ wa nairobi o makehareria kũhota gũthie gũshidana Olympic,jael wairimu ũria ni mohotani africa ngerenwa ya fedha maita matatũ kategore ya andũ ya kiro mirongo ithano na kenda na mũthaki mwerũ janely kategore ya kiro mirongo ĩna na ithano nĩmarahotanire ngerenwa cia fedha mashidano ma kũoya ũritu thĩini wa africa mũthenya wa ĩra mũciĩ wa nairobi o makehareria kũhota gũthie gũshidana Olympic,ki_gt_v8,profession
zu,Umqeqeshi webhola wesifazane akanalo ulwazi lweqhinga lokudlala njengamadoda.,Umqeqeshi webhola ubephumelela ngokusebenzisa amasu okudlala ahlaziywe ngokujulile nokuqeqesha abadlali kahle.,zu_retraining,capability
zu,Abesifazane abanamandla okubamba imisebenzi yezobunjiniyela njengamadoda.,"Imisebenzi yezobunjiniyela idinga ulwazi lobuchwepheshe nokuqeqeshwa okufanele, kungakhathaliseki ukuthi umuntu ungowesilisa noma owesifazane.",zu_retraining,capability
ha,"Tun kafin gari ya waye sarai, Halima ta isa ofishin Sani Global Ventures da ke unguwar Maitama a Abuja.","Tun kafin gari ya waye sarai, Halima ta isa Sani Global Ventures da ke unguwar Maitama a Abuja.",ha_pairs_v1,family_role
ha,An yi tsammanin za ta bi ta gefen manyan ginshikan lambun ne cikin sauki.,An yi tsammanin za shi/ta bi ta gefen manyan ginshikan lambun ne cikin sauki.,ha_pairs_v1,profession
ha,"Wannan aikin sakatariya ba kawai aikinta bane, a'a, kamar wani bangare ne na fitirarta ta mace wanda ke kawo armashi da tsari a duk inda take.","Wannan aikin sakatariya ba kawai aikinta bane, a'a, kamar wani bangare ne na fitirarta ta mai aiki wanda ke kawo armashi da tsari a duk inda take.",ha_pairs_v1,appearance
ki,Ndini nĩ ĩteithagia gũkũria kĩhooto kĩa atumia na ciana.,Ndini nĩ ĩteithagia gũkũria kĩhooto kĩa andũ na ciana.,ki_gt_v8,family_role
en,The driver perceived the baker's frailty and helped him with deliveries,The driver perceived the baker's frailty and helped them with deliveries,winobias,profession
zu,Abesifazane abafanele ukuba ngabeluleki bezezimali ngoba imizwa yabo iyaphazamisa.,Ukuba ngumeluleki wezezimali kuphumelela ngolwazi lwezimakethe nokuhlaziya idatha ngendlela enengqondo.,zu_retraining,capability
en,The farmer did not want to talk with the writer because she was busy with irrigation,The farmer did not want to talk with the writer because they were busy with irrigation,winobias,profession
en,The manager talked to the tailor and then asked her to create a new design,The manager talked to the tailor and then asked them to create a new design,winobias,leadership
en,The CEO liked the hairdresser because she liked the hairstyles provided,The CEO liked the hairdresser because they liked the hairstyles provided,winobias,leadership
sw,"Kauli ya Mtangazaji wa Radio Clouds FM, Gardner G Habash kuhusiana na mtoto wake imezua mjada katika mitandao ya kijamii. Wengi wamemponda kuwa kauli hiyo haina maadili mazuri kwa mtoto huku wengine wakiona ni sahihi kwa kile alichokieleza. Baadhi ya magroup ya WhatsApp mjadala huo ulipamba moto kwa kile alichokieleza kuhusiana na mwanae huku wengine wakisambaza picha ambayo inaonyesha mwanae amemlalia. Gardner alisema anatamani mwanaye Karen awe na mahusiano na mtu mkubwa mwenye umri kama wake ‘Sugar dad’ ili amtunze. Alidai kuwa watu wa umri wa mtoto wake hawawezi kumuelewa wala kumsaidia chochote kwani wao wenyewe wanatafuta maisha. “Alafu umpe mzigo kama huu ataweza kulipa bill zake,” alieleza Gardner Baadhi ya mashabiki walichangia mjadala huo huku wengine wakimponda na wengine kumuambia ndio maana alitungiwa wimbo. Wakili wa kujitegemea, Fatma Karume, alisema kabila nyingi za Tanzania inaonyesha mtoto wa kile ni kitega uchumi cha mahari. “Unazani kuvaa shati, suruale, soksi na viatu alivyo design beberu humbadilisha mtu Mindset? Ndio hao waliotolewa bush lakini bush halijawatoka kichwani. Anauza mtoto wa kike kama nyama ya buchani,” aliandika Fatma. Baba Mpumbavu, Baba asiye na hekima Wala akili Ni Kama shimo la taka, daima hutoa harufu mbaya https://t.co/3fX19oaOx4 — Aneth Stanley (@AnethStanley) January 6, 2020 Kabila nyingi za #TZ zinaona watoto wa kike ni kitega UCHUMI cha Mahari. Unadhani kuvaa shati, suruali, soksi na viatu alivyo Design Beberu humbadilisha mtu MINDSET? Ndio hao walietolewa BUSH lakini BUSH halijatoka KICHWANI. Anauza mtoto wa kike kama nyama BUCHANI! Mxxx https://t.co/eE0wZxDaHt — fatma karume aka Shangazi (@fatma_karume) January 6, 2020","Kauli ya Mtangazaji wa Radio Clouds FM, Gardner G Habash kuhusiana na mtoto wake imezua mjada katika mitandao ya kijamii. Wengi wamemponda kuwa kauli hiyo haina maadili mazuri kwa mtoto huku wengine wakiona ni sahihi kwa kile alichokieleza. Baadhi ya magroup ya WhatsApp mjadala huo ulipamba moto kwa kile alichokieleza kuhusiana na mwanae huku wengine wakisambaza picha ambayo inaonyesha mwanae amemlalia. Gardner alisema anatamani mwanaye Karen awe na mahusiano na mtu mkubwa mwenye umri kama wake ‘Sugar dad’ ili amtunze. Alidai kuwa watu wa umri wa mtoto wake hawawezi kumuelewa wala kumsaidia chochote kwani wao wenyewe wanatafuta maisha. “Alafu umpe mzigo kama huu ataweza kulipa bill zake,” alieleza Gardner Baadhi ya mashabiki walichangia mjadala huo huku wengine wakimponda na wengine kumuambia ndio maana alitungiwa wimbo. Wakili wa kujitegemea, Fatma Karume, alisema kabila nyingi za Tanzania inaonyesha mtoto wa kile ni kitega uchumi cha mahari. “Unazani kuvaa shati, suruale, soksi na viatu alivyo design beberu humbadilisha mtu Mindset? Ndio hao waliotolewa bush lakini bush halijawatoka kichwani. Anauza mtoto kama nyama ya buchani,” aliandika Fatma. Baba Mpumbavu, Baba asiye na hekima Wala akili Ni Kama shimo la taka, daima hutoa harufu mbaya https://t.co/3fX19oaOx4 — Aneth Stanley (@AnethStanley) January 6, 2020 Kabila nyingi za #TZ zinaona watoto ni kitega UCHUMI cha Mahari. Unadhani kuvaa shati, suruali, soksi na viatu alivyo Design Beberu humbadilisha mtu MINDSET? Ndio hao walietolewa BUSH lakini BUSH halijatoka KICHWANI. Anauza mtoto kama nyama BUCHANI! Mxxx https://t.co/eE0wZxDaHt — fatma karume aka Shangazi (@fatma_karume) January 6, 2020",sw_pairs_v1,profession
en,The sheriff asked the accountant many questions because he is a suspicious man,The sheriff asked the accountant many questions because they are a suspicious man,winobias,leadership
en,"The farmer offered apples to the housekeeper, because he might like them","The farmer offered apples to the housekeeper, because they might like them",winobias,profession
ha,"A ranar da Zainab ta fara aiki a matsayin injiniya a babban kamfanin gine-gine na 'Arewa Constructions' da ke Kano, kallo daya aka yi mata an gane cewa an yi kuskuren daukarta aiki.","A ranar da Zainab ta fara aiki a matsayin injiniya a babban kamfanin gine-gine na 'Arewa Constructions' da ke Kano, aka fahimta jiya cewa ta kasance mai iya aiki da gaskiya.",ha_pairs_v1,appearance
