ngram,count,example
kĩa atumia na,5,Gĩcunjĩ kĩa atumia na arũme a mĩaka ikũmi na ĩtano nginya mĩrongo ĩna na kenda kĩa arĩa manaigua ũhoro wa mũrimũ wa mahũri
ka arũme na,5,Ũigananĩru gatagatĩ ka arũme na atumia ũratũma atumia na arũme manyitanĩre makĩria maũndũ-inĩ ma itũũra.
ka arũme na atumia,5,Ũigananĩru gatagatĩ ka arũme na atumia ũratũma atumia na arũme manyitanĩre makĩria maũndũ-inĩ ma itũũra.
atĩ mũtumia wa,5,Ũũ nĩ ũira waku atĩ mũtumia wa mũtongoria nĩ we akoretwo agĩtongoria maũndũ ma kauntĩ.
ũritũ wa atumia,5,ũũ ũrehaga ũritũ wa atumia kwaga kũnyitanĩra harĩ ũrĩmi.
wa atumia kwaga,5,ũũ ũrehaga ũritũ wa atumia kwaga kũnyitanĩra harĩ ũrĩmi.
atumia kwaga kũnyitanĩra,5,ũũ ũrehaga ũritũ wa atumia kwaga kũnyitanĩra harĩ ũrĩmi.
ũrehaga ũritũ wa atumia,5,ũũ ũrehaga ũritũ wa atumia kwaga kũnyitanĩra harĩ ũrĩmi.
ũritũ wa atumia kwaga,5,ũũ ũrehaga ũritũ wa atumia kwaga kũnyitanĩra harĩ ũrĩmi.
wa atumia kwaga kũnyitanĩra,5,ũũ ũrehaga ũritũ wa atumia kwaga kũnyitanĩra harĩ ũrĩmi.
atumia kwaga kũnyitanĩra harĩ,5,ũũ ũrehaga ũritũ wa atumia kwaga kũnyitanĩra harĩ ũrĩmi.
ũũ ũrehaga ũritũ wa atumia,5,ũũ ũrehaga ũritũ wa atumia kwaga kũnyitanĩra harĩ ũrĩmi.
ũrehaga ũritũ wa atumia kwaga,5,ũũ ũrehaga ũritũ wa atumia kwaga kũnyitanĩra harĩ ũrĩmi.
ũritũ wa atumia kwaga kũnyitanĩra,5,ũũ ũrehaga ũritũ wa atumia kwaga kũnyitanĩra harĩ ũrĩmi.
wa atumia kwaga kũnyitanĩra harĩ,5,ũũ ũrehaga ũritũ wa atumia kwaga kũnyitanĩra harĩ ũrĩmi.
atumia kwaga kũnyitanĩra harĩ ũrĩmi,5,ũũ ũrehaga ũritũ wa atumia kwaga kũnyitanĩra harĩ ũrĩmi.
na mũrũ wa nyina,5,"Ningĩ nĩ kuonekire atĩ Robert Mwangi, mũthuri wa Mwangi na mũrũ wa nyina na mũtigaireKimani, nĩ aahutirio nĩ ũici ũcio tondũ biacara yake ya njohi nĩ yathũire."
ngomanio cia arũme,5,Andũ arĩa mareganaga na watho wa gwĩtĩkĩria ngomanio cia arũme kwa arũme na andũ a ndũrĩrĩ ingĩ thĩinĩ wa Taiwan
ngomanio cia arũme kwa,5,Andũ arĩa mareganaga na watho wa gwĩtĩkĩria ngomanio cia arũme kwa arũme na andũ a ndũrĩrĩ ingĩ thĩinĩ wa Taiwan
ngomanio cia arũme kwa arũme,5,Andũ arĩa mareganaga na watho wa gwĩtĩkĩria ngomanio cia arũme kwa arũme na andũ a ndũrĩrĩ ingĩ thĩinĩ wa Taiwan
harĩ mũtumia,5,Gũthuthũka kũu kwa mĩĩrĩ gũkoragwo kũrĩ kwa ũhũthũ harĩ mũtumia kũruta nda.
mũndũrũme na,5,Thutha wa macĩra maiganona ena mĩaka ikũmi na kenda Abade nĩatuire gũtuika mũndũrũme na akĩyĩta Jimi.
nĩ ĩteithagia atumia,5,Oigaga atĩ mĩtugo ĩyo nĩ ĩteithagia atumia mĩrũrĩinĩ ya mahĩndĩ.
wa mwanake,5,Ũkuona atĩa ũvoro wa mwanake kũgĩa na njuĩrĩ ndaaya?
mũndũrũme wa,5,"Kĩmako kĩhana atia, mũndũrũme wa kĩroto"
atumia aingĩ na,5,Nĩ harĩ ndũrĩrĩ iria cihikagia atumia aingĩ na ũhotekeku mũnene ciana ciao kũgaya mathina macio
nyina erĩ,5,Nekesa oigaga atĩ mũgũnda ũcio nĩ wake na atĩ nyina na ariũ a nyina erĩ nĩ maathikirũo ho.
a nyina erĩ,5,Nekesa oigaga atĩ mũgũnda ũcio nĩ wake na atĩ nyina na ariũ a nyina erĩ nĩ maathikirũo ho.
na ariũ a nyina,5,Nekesa oigaga atĩ mũgũnda ũcio nĩ wake na atĩ nyina na ariũ a nyina erĩ nĩ maathikirũo ho.
mũtumia wakwa nĩ,5,Mũtumia wakwa nĩ arohire nda 
kũheana mũkaana,5,Kimani kũheana mũkaana kũrĩ Iran atĩ 'ndĩkagerie Amerika'
aarĩ a nyina,5,mwanake ũmwe wa mĩaka ikũmi na inya nĩ gũteretha  na kũnyita aarĩ a nyina erĩ hanwe na endwa acio erĩ na mwarĩ wa nyina na mũhikania
mũtumia wa mũthamaki,5,Ũtukũ wa mbere wamũrĩtwo ũrĩ wamwanya kũrĩ mũtumia wa mũthamaki
maitu nĩ,5,Maitũ nĩ arugĩte irio
mũthuri wakwa nĩ,5,Mũthuri wakwa nĩ mũrũaru mũno
atumia erĩ,5,"Ona kũrĩ ũguo, nĩ kũĩkane nĩ atiganire na atumia erĩ."
mũtumia gbv,5,"Nĩ ũndũ wa maũndũ megiĩ Ũhinya wa Mũthuri kana Mũtumia (GBV), kũhingũrwo gwa thimũ ya gũteithĩrĩria bũrũri wotheya kwaranĩria na andũ ya kũhũrana na Ũhinya wa Mũthuri kana Mũtumia (GBV) namba ikũmi na ĩmwe mĩrongo kenda na ĩtano. Hamwe na thimũ ya gũteithĩrĩria bũrũri wotheya kwaranĩria na andũ ya kũhũrana maũndũ ma ciana kũnyarirwo gwa ciana (ChildLine Kenya) namba ĩmwe ĩmwe ithathatũ."
kana mũtumia gbv,5,"Nĩ ũndũ wa maũndũ megiĩ Ũhinya wa Mũthuri kana Mũtumia (GBV), kũhingũrwo gwa thimũ ya gũteithĩrĩria bũrũri wotheya kwaranĩria na andũ ya kũhũrana na Ũhinya wa Mũthuri kana Mũtumia (GBV) namba ikũmi na ĩmwe mĩrongo kenda na ĩtano. Hamwe na thimũ ya gũteithĩrĩria bũrũri wotheya kwaranĩria na andũ ya kũhũrana maũndũ ma ciana kũnyarirwo gwa ciana (ChildLine Kenya) namba ĩmwe ĩmwe ithathatũ."
mũthuri kana mũtumia gbv,5,"Nĩ ũndũ wa maũndũ megiĩ Ũhinya wa Mũthuri kana Mũtumia (GBV), kũhingũrwo gwa thimũ ya gũteithĩrĩria bũrũri wotheya kwaranĩria na andũ ya kũhũrana na Ũhinya wa Mũthuri kana Mũtumia (GBV) namba ikũmi na ĩmwe mĩrongo kenda na ĩtano. Hamwe na thimũ ya gũteithĩrĩria bũrũri wotheya kwaranĩria na andũ ya kũhũrana maũndũ ma ciana kũnyarirwo gwa ciana (ChildLine Kenya) namba ĩmwe ĩmwe ithathatũ."
cia atumia no,5,"Kũrĩ na ũhoro ũrĩa wagĩrĩire na ũteithio ũrĩa wagĩrĩire, ithondeka cia atumia no ikorũo na moimĩrĩro mega harĩ ũhotekeku wa airĩtu wa kwĩruta"
kũrũgamĩrĩra ihooto cia atumia,5,Ũndũ ũyũ nĩ wa bata mũno harĩ ikundi iria ciĩyumĩririe cia kĩmũciĩ cia kũrũgamĩrĩra ihooto cia atumia.
cia kũrũgamĩrĩra ihooto cia atumia,5,Ũndũ ũyũ nĩ wa bata mũno harĩ ikundi iria ciĩyumĩririe cia kĩmũciĩ cia kũrũgamĩrĩra ihooto cia atumia.
atumia cia,5,"Ũhoro no ũcookanĩrĩrio kaingĩ nĩ ũndũ wa maũndũ mangĩ ta kũheana indo cia atumia cia kũhũthĩra hĩndĩ ya igongona rĩa mweri, gũthondeka nyũmba cia cukuru, kũheana mabuku ma gũthoma, na kũheana ũteithio wa gĩthomo."
na atumia na,5,"Na kwoguo, ũhoro ũrĩa ũrĩ ho ndũhotaga gũtaarĩria maũndũ marĩa magũmĩire airĩtu na atumia, na makĩria maũndũ-inĩ ma gĩthomo."
o mũtumia,5,"Mwaka-inĩ wa ngiri ĩmwe na magana kenda na mĩrongo ĩtano, atumia maaciaraga ciana irĩ na mũigana wa 4.6 harĩ o mũtumia ũtũũro-inĩ wao."
harĩ o mũtumia,5,"Mwaka-inĩ wa ngiri ĩmwe na magana kenda na mĩrongo ĩtano, atumia maaciaraga ciana irĩ na mũigana wa 4.6 harĩ o mũtumia ũtũũro-inĩ wao."
mũtumia wĩna,5,Niĩ ndĩ mũtumia wĩna mĩri ya Tanzania na Burudi na mũthuri wakwa nĩ Mũganda.
na mũka,5,Riyard Mahlez na mũka Rita maathĩtũo kũrĩha mũruti wao wa wĩra wa gatene 
mũtongoria mũtumia,5,Catherine Mwikali nĩwe mũtongoria mũtumia ũrĩa watongoririe Russia ihinda iraya mũno.
arũme na atumia harĩ,5,"ĩhinda-inĩ o rĩu, riboti ĩyo nĩ yonanirie ngũrani ya arũme na atumia harĩ gĩthomo kĩa naihenya, kũrĩa airĩtu aingĩ makoragwo na mathĩna ma gĩthomo kĩa naihenya, kuuma harĩ kũgĩa na indo cia gĩthomo nginya harĩ kũhĩngĩcwo kwa arĩa mareruta."
na atumia arĩa marĩ,5,"Kaunti cia Bungoma, Kakamega, Busia na Vihiga o nacio nĩ ikoretwo ikĩhiũrania na mũrimũ mwerũ wa malaria gatagatĩ ka ciana cia mĩaka ĩtano na atumia arĩa marĩ na nda."
atumia thĩ,5,"Rĩũ aigĩte mwerekera wake kũhotana thabarĩ ya mashidano ma kĩũngano gĩa kĩmabũrũri gĩa mũthako wa tennis w,a atumia thĩ ngima."
mũkawa ũcio nĩ,5,Mũkawa ũcio nĩ wa Mwangi.
gĩkundi kĩa atumia,5,Gĩkundi kĩa atumia nĩ gĩthiĩte igoti-inĩ.
kĩa atumia nĩ,5,Gĩkundi kĩa atumia nĩ gĩthiĩte igoti-inĩ.
atumia marĩ na nda,5,Njanjo ya tetenas nĩ-ĩthecagwo atumia marĩ na nda nĩguo kũrigĩrĩria ikuũ cia ciana ta ũrĩa kũrĩ mabũrũri inĩ maingi
harĩ nyina,5,Ũrori mwega wa thutha wa gũciara harĩ nyina na mwana nĩ mwega nĩũndũ wa mathĩna mangĩkorũo maũmanĩte na gũciara
harĩ arũme na,5,Ũmenyo wa ũruithia ũyũ harĩ arũme na atumia
harĩ arũme na atumia,5,Ũmenyo wa ũruithia ũyũ harĩ arũme na atumia
ya atumia marĩ,5,Njĩra ya kũĩgitĩra malaria ya atumia marĩ na nda ĩrĩa ĩheagwo atumia rĩrĩa mathiĩ kwamũkĩra ũrori wa ũrĩa mwana arathiĩ na mbele
arĩ mũtumia,5,"Nyĩmbo no ciahunjĩrio andũ aingĩ kũgerera rendio no VOK(rĩu nĩ KBC) gĩthomo kĩa gĩthũngũ, kĩarĩ na nyĩmbo nyingĩ cia rũraya na ibindi itarĩ na bata nĩcio breakfast club, lunch time music,  beat time, Sundowner na late date according to Elizabeth Omollo, ũrĩa arĩ mũtumia wa mbere gũtangatha mweri-inĩ wa Dicemba 1970."
nĩ mũndũrũme,5,ũũ nĩ kuonania meciria kũringana kana nĩ mũndũrũme kana mũtumia.
e mũthuri kana,5,Mwerekera ngũrani wa Tekinoronjĩ ya Githomo na ngũrani cia gũkorwo mũndũ e-mũthuri kana e-mũtumia tumia kũgĩa na ũguni wa kũhũthĩra Tekinoronjĩ ya Gĩthomo.
mũthuri kana e,5,Mwerekera ngũrani wa Tekinoronjĩ ya Githomo na ngũrani cia gũkorwo mũndũ e-mũthuri kana e-mũtumia tumia kũgĩa na ũguni wa kũhũthĩra Tekinoronjĩ ya Gĩthomo.
kana e mũtumia,5,Mwerekera ngũrani wa Tekinoronjĩ ya Githomo na ngũrani cia gũkorwo mũndũ e-mũthuri kana e-mũtumia tumia kũgĩa na ũguni wa kũhũthĩra Tekinoronjĩ ya Gĩthomo.
e mũthuri kana e,5,Mwerekera ngũrani wa Tekinoronjĩ ya Githomo na ngũrani cia gũkorwo mũndũ e-mũthuri kana e-mũtumia tumia kũgĩa na ũguni wa kũhũthĩra Tekinoronjĩ ya Gĩthomo.
mũthuri kana e mũtumia,5,Mwerekera ngũrani wa Tekinoronjĩ ya Githomo na ngũrani cia gũkorwo mũndũ e-mũthuri kana e-mũtumia tumia kũgĩa na ũguni wa kũhũthĩra Tekinoronjĩ ya Gĩthomo.
e mũthuri kana e mũtumia,5,Mwerekera ngũrani wa Tekinoronjĩ ya Githomo na ngũrani cia gũkorwo mũndũ e-mũthuri kana e-mũtumia tumia kũgĩa na ũguni wa kũhũthĩra Tekinoronjĩ ya Gĩthomo.
mũkawa ũcĩo,5,thutha wa kũhingũra mũkawa ũcĩo gũtirĩ mũndũ ũrathiĩ kuo
mũkawa ũrĩa wĩna,5,Mũkawa ũrĩa wĩna aruti a wĩra ega mũno
mũtumia ena,5,Mũtumia ena kĩeha nĩũndũ wa kurwara.
mũkana ũcio,5,gũtire kũranĩrĩrwo nĩrĩ mũkana ũcio ũgũkinya mũico
wa kũhikia mũtumia,5,Mũndũrũme ũmwe gũikio njera mĩeri itandatũ nĩ ũndũ wa kũhikia mũtumia wa kerĩ bũrũri-inĩ wa Pakistan
mũtumia wa kerĩ,5,Mũndũrũme ũmwe gũikio njera mĩeri itandatũ nĩ ũndũ wa kũhikia mũtumia wa kerĩ bũrũri-inĩ wa Pakistan
harry na mũtumia,5,Andũ a mũciĩ wa mũthamaki 'nĩ maiguite ũũru mũno' nĩ ũndũ wa Prince Harry na mũtumia wake gũtua itua rĩa  gũikara andũ a kawaida.
harry na mũtumia wake,5,Andũ a mũciĩ wa mũthamaki 'nĩ maiguite ũũru mũno' nĩ ũndũ wa Prince Harry na mũtumia wake gũtua itua rĩa  gũikara andũ a kawaida.
na mũtumia wake nĩ,5,Mũthamaki Harry na mũtumia wake nĩ marerutanĩria kwĩyamũrania na andũ a nyũmba ya ũthamaki.
mũtumia wake wa mbere sami,5,"Mũtumia wake wa mbere, Sami, aarĩ wa bũrũri wa Ghana."
mũkararia mũnene,5,Onekaga ta arĩ mũkararia mũnene wa tharĩkĩro ya Amerika ya Iraq mwaka wa ngiri igĩrĩ na ithatũ.
mũkararia mũnene wa,5,Onekaga ta arĩ mũkararia mũnene wa tharĩkĩro ya Amerika ya Iraq mwaka wa ngiri igĩrĩ na ithatũ.
kũhe atumia,5,"""Tũrenda kũhe atumia arĩa atungũ ngoro ya kwĩĩtĩkia atĩ onao nĩ athaka""."
magũrũ wa atumia,5,Moriba nĩarĩ athakĩra timũ ya mũbira wa magũrũ wa atumia kũrĩa bũrũri wa Guinea
wa magũrũ wa atumia,5,Moriba nĩarĩ athakĩra timũ ya mũbira wa magũrũ wa atumia kũrĩa bũrũri wa Guinea
atumia gũkorwo,5,No kũhotekeke arũme na atumia gũkorwo me timu ĩmwe ?
ya mũthuri ũrĩa,5,Mũthamaki nĩarigirwo nĩ mĩtugo ya Mũthuri ũrĩa.
akĩmwĩra mwanake,5,No mũico akĩmwĩra mwanake ũcio atĩ nĩangiahotire kũmũhe wĩra.
nyina wake,5,Juma ningĩ nĩ eendete kũruga na nyina wake.
na atumia marabatara,5,Athuri na atumia marabatara kũnyitanĩra ũndũ ũmwe.
athuri na atumia marabatara,5,Athuri na atumia marabatara kũnyitanĩra ũndũ ũmwe.
wa mwĩrĩ wa nyina,5,Menya ũgima wa mwĩrĩ wa nyina.
a arũme kana,4,Kamĩtĩ ya acoki a arũme kana atumia a arũme kana arũme a arũme kana airĩtu a arũme kana airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu a airĩtu.
atumia maũndũ,4,Kũrĩ na bata wa ũhoro mũtabanĩru wĩgiĩ airĩtu na atumia maũndũ-inĩ ma ũgwati
atumia maũndũ inĩ,4,Kũrĩ na bata wa ũhoro mũtabanĩru wĩgiĩ airĩtu na atumia maũndũ-inĩ ma ũgwati
gĩthomo harĩ airĩtu na atumia,4,Nĩ gĩkĩro kĩrĩkũ arĩa mathondekaga mawatho bũrũri-inĩ wa Kenya mahotete kũheana kana kũhũthĩra ũhoro wa bata nĩguo kũgĩe na ũiguano na kũiguithania maũndũ ma gĩthomo harĩ airĩtu na atumia?
ihooto cia atumia nĩ,4,"Kũringana na ũrĩa maũndũ matariĩ, ikundi iria irũagĩrĩra ihooto cia atumia nĩ ciagathĩrĩirio na igateithĩrĩrio nĩ andũ arĩa arĩa maacokirie ciũria ciao, na igĩkĩrĩrũo atĩ no itungatĩre harĩ kũheana ũira na gũcokanĩrĩria ũhoro."
ithondeka cia atumia,4,"Ithondeka cia atumia nĩ ciĩrũmbũyagia mũno maũndũ ma ũrigitani na rĩmwe na rĩmwe nĩ ciariganĩrũo nĩ maũndũ mangĩ ma bata marĩa atumia macemanagia namo ta gũthamĩrio mĩciĩ-inĩ yao, kwaga irio cia kũigana, kana ũthĩni."
atumia a afrika,4,Atumia a Afrika arĩa wagĩrĩirũo nĩ kũmenya ũhoro wao
arũme aingĩ,4,Ũndũ ũcio no ũtũteithie gũtaũkĩrũo kĩrĩa gĩtũmaga arũme aingĩ mende gũkorũo na ihiko itarĩ cia ndũire.
mũthuri ũyũ,4,"Nĩ ndamũririe , ni ũri wona mũthuri ũyũ?"
mũtumia arĩ,4,ũhotekeku wa kũgĩa ciana ũkoragwo ũrĩ igũrũ mũtumia arĩ mĩaka inĩ ya mĩrongo ĩĩrĩ na nginyagia ĩĩrĩ na inya na kuuma hau ĩkambĩrĩria gũcoka thĩ
mũigana wa atumia arĩa,4,Athomi a sayansi kuuma Bũrũri wa Austria moigaga atĩ mũigana wa atumia arĩa makuaga hĩndĩ ya gũciara nĩ ũnyihĩte nĩ ũndũ wa gũciara na njĩra ya gũthĩnjwo
atĩ mũtumia wake,4,"O na kũrĩ ũguo, andũ amwe nĩ maroiga atĩ mũtumia wake nĩ mũriũ wa Charlo Mũhute, ũrĩa warĩ mwandĩki wa gĩkundi kĩrĩa kĩarĩ thirikari-inĩ."
ta mũndũrũme,4,Ta mũndũrũme nĩngũranĩte mweke wa atumia na njĩra nene mũno
mũtumia no,4,Ũngĩkoro wĩ mũtumia  no wĩigue ruo rũritũ ihindainĩ riaku ria mweri.
matumbĩ ma mũtumia,4,Nĩ ũrigitani wa matumbĩ ma mũtumia na mbegũ cia mũthuri.
mũtumia ũngi,4,No kũhũthĩrwo mũtumia ũngi wa gũkua mwana.
atumia aingĩ mena,4,Atumia aingĩ mena mũrimũ wa fibroid no makue mwana owega.
kũrĩ mũthuri wakwa,4,Ta rora gathandũkũ gakwa ka marũa kuuma kũrĩ mũthuri wakwa.
mũtumia mũkũrũ,4,wahikia mũtumia mũkũrũ nĩ ũkũnoga
atumia arĩa matarĩ na,4,Gĩcunjĩ kĩa atumia arĩa matarĩ na nda na matiĩthecete na marĩ na uhoti wa kuoha nda
ũruithia wa atumia,4,Ũruithia wa atumia ũrĩ gĩcunjĩ kĩa ikũmi na ithano harĩ igana 
na arũme a,4,Gĩcunjĩ kĩa atumia na arũme a mĩaka ikũmi na ĩtano nginya mĩrongo ĩna na kenda kĩa arĩa manaigua ũhoro wa mũrimũ wa mahũri
atumia gũtwarithia,4,Atumia gũtwarithia mĩgithi ya kĩrĩu bũrũrinĩ wa Kenya.
atumia gũtwarithia mĩgithi,4,Atumia gũtwarithia mĩgithi ya kĩrĩu bũrũrinĩ wa Kenya.
atumia gũtwarithia mĩgithi ya,4,Atumia gũtwarithia mĩgithi ya kĩrĩu bũrũrinĩ wa Kenya.
atumia gũtwarithia mĩgithi ya kĩrĩu,4,Atumia gũtwarithia mĩgithi ya kĩrĩu bũrũrinĩ wa Kenya.
mũtumia aciara,4,Mũtumia aciara mwana wa kairĩtu.
atumia na andũ,4,Nĩ yonekaga kaingĩ kũrĩ atumia na andũ akũrũ. 
ihoto cia atumia,4,Mwangi nĩendete kũhotithia atumia na kũnyita gũoko ihoto cia atumia ona  gũtũĩka mĩtugo yake ndĩatwaranaga na kĩrĩa augaga nĩ arahũranĩra
kamwe mũkawaĩni,4,ĩtĩa kahũa kamwe mũkawaĩni wa starbucks 
kahũa kamwe mũkawaĩni,4,ĩtĩa kahũa kamwe mũkawaĩni wa starbucks 
kamwe mũkawaĩni wa,4,ĩtĩa kahũa kamwe mũkawaĩni wa starbucks 
mũkawaĩni wa starbucks,4,ĩtĩa kahũa kamwe mũkawaĩni wa starbucks 
ĩtĩa kahũa kamwe mũkawaĩni,4,ĩtĩa kahũa kamwe mũkawaĩni wa starbucks 
kahũa kamwe mũkawaĩni wa,4,ĩtĩa kahũa kamwe mũkawaĩni wa starbucks 
kamwe mũkawaĩni wa starbucks,4,ĩtĩa kahũa kamwe mũkawaĩni wa starbucks 
ĩtĩa kahũa kamwe mũkawaĩni wa,4,ĩtĩa kahũa kamwe mũkawaĩni wa starbucks 
kahũa kamwe mũkawaĩni wa starbucks,4,ĩtĩa kahũa kamwe mũkawaĩni wa starbucks 
atumia mabatiĩ,4,Atumia mabatiĩ kũheo mweke harĩ ũteti.
kĩhooto kĩa atumia,4,Ndini nĩ ĩteithagia gũkũria kĩhooto kĩa atumia na ciana.
na nyamũkano,4,Na magatũma kũgĩe na nyamũkano kĩgomano-inĩ.
na mũthuri ti,4,mũthenya wa kana no nginya njemanie na mũthuri ti juma thaa inyanya mũthenya ndagũthaitha kururĩra karenda-inĩ 
na atumia a ndigwa,4,Macũngĩrĩrio ma mbara cia kĩũteti nĩ gũkorwo na atumia a ndigwa
mũrũ wa nyina na,4,"Ningĩ nĩ kuonekire atĩ Robert Mwangi, mũthuri wa Mwangi na mũrũ wa nyina na mũtigaireKimani, nĩ aahutirio nĩ ũici ũcio tondũ biacara yake ya njohi nĩ yathũire."
arũme erĩ,4,"Faith arauga ũũ: ""Rĩrĩa twokĩrire, twonire kũrĩ na arũme erĩ nyũmba-inĩ ĩyo."
arũme arĩa mahikanĩtie na,4,Thirikari ya Amerika nĩ ĩhũthĩrĩte njĩra njũru mũno gũteithia arũme arĩa mahikanĩtie na arũme arĩa angĩ
kũrĩ na atumia,4,Kũrĩ na atumia aingĩ arigitani na aciarithania (ngiri ikũmi na ithano na Magana mana ma mĩrongo ĩĩrĩ na inyanya) ũkĩringithania na arũme (ngiri inya na Magana kenda ma mĩrongo ĩna na ithatũ)
atĩ nyina na,4,Nekesa oigaga atĩ mũgũnda ũcio nĩ wake na atĩ nyina na ariũ a nyina erĩ nĩ maathikirũo ho.
mũndũrũme ũmwe nĩ,4,Mũndũrũme ũmwe nĩ aakuhĩrĩirie metha yakwa
mũthuri wake nĩ,4,Mũthuri wake nĩ mũikamba.
arũme a rũrĩrĩ,4,Arũme a rũrĩrĩ rwaa gikũyu nĩ marĩmaga cai na kahũwa
ya mwanake,4,mĩtugo ya mwanake ũcio ti mĩega
na mũthuri wakwa,4,Nĩ ndonaga maũndũ makwa magĩthira ndĩ na mũthuri wakwa.
ni atumia,4,Wodi cia Manyatta ciciaragirwo ni atumia aa Kimaathai Kenya.
mũthuri mũrebi,4,Mũthuri mũrebi wa Cochrane niatigite thire mũnene mũno hindi ya gikuo giake.
mũthuri mũrebi wa,4,Mũthuri mũrebi wa Cochrane niatigite thire mũnene mũno hindi ya gikuo giake.
mũthuri mũrebi wa cochrane,4,Mũthuri mũrebi wa Cochrane niatigite thire mũnene mũno hindi ya gikuo giake.
mũthuri mũrebi wa cochrane niatigite,4,Mũthuri mũrebi wa Cochrane niatigite thire mũnene mũno hindi ya gikuo giake.
kũheana mũkaana kũrĩ,4,Kimani kũheana mũkaana kũrĩ Iran atĩ 'ndĩkagerie Amerika'
wanjiru na nyina,4,Igooti rĩa Rwanda rĩa rekereria wanjiru  na nyina waithera kagera  rĩkiuga atĩ matirĩ na mahĩtia
ma athuri na atumia,4,"Dagĩtarĩ  dorothy arĩ mũikarĩri gĩtĩ wa ũrigitani wa rũhonge rwa Ũgima wa Mwĩrĩ, ũthii wa na mbere wa mũingĩ, maũndũ ma athuri na atumia , akũrũ na Ciana."
nĩ mũkawa,4,Nĩndakũhoya ũnyandĩkĩre ndũmĩrĩri rũrenda-inī rũa tũita igũrũ rĩgiĩ ũtungata mũũru ũrĩa ũrutagwo nĩ  mũkawa wa kenchic 
atumia ta,4,"ũhotekeku wa gũcenjia kwa ihinda rĩa mweri kũrĩ atumia ta kũaga kũgĩa na ihinda rĩa mweri, nĩ ũndũ ũngĩ wa bata ũkoretwo ũgĩcũrania hĩndĩ ya uthuthuria ũcio."
na nyina wa,4,"Philomena Cherotich, wa mĩaka mĩrongo ĩthatu na ithatũ na nyina wa ciana ithatũ kuuma Pokot ya ithũĩro, akoretwo akĩhũthĩra ndawa cia kĩĩrĩu cia kũrigĩrĩria kũgĩa nda kwa ihinda rĩa mĩaka ĩna, ũndũ ũrĩa mũthuuri wake ataramenya."
na atumia nĩ,4,"Kũringana na Ũtungata wa Gĩthomo Kenya, ũigana wa arũme na atumia nĩ wongererekete ũgĩkinya gĩcunjĩ kĩa noti gaturumo kenda mũgwanja gĩthomo-inĩ kĩa mũthingi na gĩcunjĩ kĩa noti gaturumo kenda ithano gĩthomo-inĩ gĩa sekondarĩ."
harĩ atumia ethĩ,4,Tech Dada nĩ mũbango wa Thukuru wa Tunapanda ũrĩa ũkoragwo na muoroto wa gũtwarithia na mbere ũhũthĩri wa tekinoronjĩ cia mohoro harĩ atumia ethĩ Kenya.
kũruithio kwa atumia,4,(FGM) Kũruithio kwa Atumia (JFA) Ũrũmwe wa Ngwatanĩro
atumia fgm,4,"Thĩinĩ wa maũndũ ta macio, ũhũthĩri ũtagĩrĩire wa indo kũhũrana na maũndũ megiĩ Kũruithio kwa Atumia (FGM) handũ ha kũrũa na ũhũthĩri wa ndawa cia kũrebia."
cia atumia cia,4,"Ũhoro no ũcookanĩrĩrio kaingĩ nĩ ũndũ wa maũndũ mangĩ ta kũheana indo cia atumia cia kũhũthĩra hĩndĩ ya igongona rĩa mweri, gũthondeka nyũmba cia cukuru, kũheana mabuku ma gũthoma, na kũheana ũteithio wa gĩthomo."
arĩa maamũkararagia,4,"Moi, thutha wa kũremwo nĩ kũruta wathani mwaka wa ngiri ĩmwe na magana kenda ma mĩrongo ĩnana na ĩrĩ, nĩ aarũgamĩrĩire arĩa maamũkararagia."
mũtumia ũmwe wĩtagwo,4,"Mũtumia ũmwe wĩtagwo Anna, kuuma Brazil oigire ũũ: ""Rĩrĩa twambĩrĩirie kwĩruta Bibilia, tũtiamenyaga kũrĩa twathiĩte."
ya mũkawa,4,Tharĩkĩro ya ũcangiri Kenya. Nĩ ũndũũrĩkũwekĩkire hĩndĩ ya tharĩkĩra ya mũkawa wa Duciti D2 Nairobi?
mũtumia ũcio aarĩ,4,Mũtumia ũcio aarĩ na nda ya ciumia mĩrongo ĩtatũ na ithathatũ rĩrĩa ararathiruo.
mũtumia ũcio aarĩ na,4,Mũtumia ũcio aarĩ na nda ya ciumia mĩrongo ĩtatũ na ithathatũ rĩrĩa ararathiruo.
athuri na atumia no,4,Athuri na atumia no meke mĩtugo ĩno.
nĩ atumia na,4,Aingĩ ao nĩ atumia na ciana aria matangĩavotire gũteng'era na ivenya hamwe na andũ akũrũ.
ya arũme na,4,"Kũrĩ icigo iria ikoragwo na ũgucania mũnene wa arũme na atumia, mĩcemanio ya mwanya ya ithomo kana mĩbango ngũrani ya gũikara ya arũme na atumia nĩ yagĩrĩirũo kũrũmagĩrĩrũo."
arũme na atumia no,4,"Thĩinĩ wa ũndũ ũcio, arũme na atumia no makorũo na mũrimũ mũna."
